mission,twitter,country,details,type
Tashkent,amb_tashkent,Uzbekistan,Embassy of India in Tashkent Uzbekistan,Embassy
Caracas,IndiaVenezuela,Venezuela,Embassy of India in Caracas Venezuela,Embassy
Hanoi,AmbHanoi,Vietnam,Embassy of India in Hanoi Vietnam,Embassy
Ho Chi Minh City,cghcm,Vietnam,Consulate General of India in Ho Chi Minh City Vietnam,Consulate General
Sana'a,IndiaInYemen,Yemen,Embassy of India in Sana'a Yemen,Embassy
Lusaka,indiainzambia,Zambia,High Commission of India in Lusaka Zambia,High Commission
Harare,IndiainZimbabwe,Zimbabwe,Embassy of India in Harare Zimbabwe,Embassy
Indian Diplomacy,IndianDiplomacy,India,,
Ministry of External Affairs,MEAIndia,India,,
New Delhi,CPVIndia,India,,
Foreign Services Institute,FSI_MEA,India,,
New Delhi,passportsevamea,India,,
New Delhi,MEAQuery,India,,
Sushma Swaraj,SushmaSwaraj,India,,
Narendra Modi,narendramodi,India,,
Presidents Office,RashtrapatiBhvn,India,,
Prime Ministers Office,PMOIndia,India,,
